"","ID","lat.avg","long.avg"
"1","X03956",58.4291666666667,-62.5083333333333
"2","X10374",60.1148518518519,-63.6876666666667
"3","X10393",54.76675,-56.675125
"4","X10695",62.8806272727273,-74.5034636363636
"5","X10700",64.0156804123711,-61.0319484536082
"6","X10703",63.6488811881188,-63.465396039604
"7","X10707",63.22308,-63.1702666666667
"8","X10709",64.1502093023256,-67.0595465116279
"9","X11974",58.3432592592593,-62.5685185185185
"10","X11975",58.6659545454545,-62.9511931818182
"11","X12078",56.7034,-58.6902
"12","X12080",60.4121935483871,-61.7032043010753
"13","X12081",55.336,-55.8248333333333
"14","X12082",55.4054444444444,-56.6961111111111
"15","X12083",56.6202,-73.1166
"16","X12086",58.1336111111111,-62.3592592592593
"17","X12092",60.362,-64.8546078431373
"18","X13284",63.9869888888889,-58.8519888888889
"19","X13289",63.6783884892086,-62.2130575539568
"20","X13292",63.0578,-62.035784
"21","X13428",65.68112,-60.3813466666667
"22","X13437",62.1395064935065,-61.4823896103896
"23","X13746",66.3516203703704,-61.9761574074074
"24","X30126",61.1381264367816,-64.6288045977011
"25","X30129",61.3134810126582,-65.2902911392405
"26","X30131",60.4088227848101,-63.0870379746835
"27","X30135",60.5252394366197,-66.1288732394366
"28","X30140",59.756488372093,-68.8142790697674
