field_1,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID
"1316",X11974,4-09-95,"9",April,"1995",13:25,58.317,-62.8,"1360"
"1342",X12086,4-21-95,"21",April,"1995",14:07,58.05,-62.333,"1386"
"1387",X12086,5-16-95,"16",May,"1995",13:44,58.1,-62.483,"1431"
"1390",X11975,5-20-95,"20",May,"1995",17:58,58.45,-62.617,"1434"
"1394",X11974,5-24-95,"24",May,"1995",15:38,58,-62.383,"1438"
"1408",X12086,6-10-95,"10",June,"1995",17:34,58.15,-62.517,"1453"
"1416",X11974,6-23-95,"23",June,"1995",12:58,58.417,-62.733,"1461"
"1418",X12086,6-25-95,"25",June,"1995",18:14,58.267,-62.767,"1463"
"1422",X11974,7-03-95,"3",July,"1995",12:41,58.967,-63.3,"1467"
"1450",X11975,8-23-95,"23",August,"1995",15:50,58.867,-63.067,"1495"
"1459",X11974,9-01-95,"1",September,"1995",14:15,58.967,-63.167,"1504"
"1461",X12086,9-03-95,"3",September,"1995",11:54,58.367,-62.55,"1506"
"1487",X11974,10-11-95,"11",October,"1995",15:35,59.1,-63.55,"1533"
"1557",X30135,1-20-98,"20",January,"1998",18:29,58.912,-63.178,"1604"
"1567",X30135,2-01-98,"1",February,"1998",13:48,59.216,-63.484,"1614"
"1591",X30140,3-09-98,"9",March,"1998",13:57,59.314,-69.66,"1638"
"1629",X30140,5-08-98,"8",May,"1998",13:39,58.863,-69.262,"1676"
"1716",X30131,1-31-99,"31",January,"1999",19:29,57.859,-61.931,"1763"
"1727",X30131,2-18-99,"18",February,"1999",20:56,58.789,-62.914,"1774"
"1849",X30140,4-03-00,"3",April,"2000",14:28,59.199,-69.388,"1897"
"1853",X30140,1-22-01,"22",January,"2001",17:38,59.223,-69.285,"1901"
