"","ROWID_2","ID","ROWID","DATE","DAY","MONTH","YEAR","TIME","SEASON","LONG","LAT","USED_AVAIL","ZONE","EASTING","NORTHING","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S","date_char","distance","lon","lat"
"distance...26",26,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.3510558066097,58.7853341957447,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",239703.676495395,-57.3005388789981,59.3112032949558
"distance...27",27,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.3406611808448,57.7259062157497,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",271133.450704492,-56.8677318975661,58.2616374867023
"distance...28",28,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.3263048495135,57.793162181418,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",268501.582898844,-56.9518751300248,58.4712685866026
"distance...29",29,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.2993088793728,58.3642701539105,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",249526.21405432,-57.1237382477894,58.8909592797079
"distance...30",30,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.2964048163212,57.6877243848533,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",269693.043155604,-56.8677318975661,58.2616374867023
"distance...31",31,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.2785716230282,58.3085125087562,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",250079.947079837,-57.1237382477894,58.8909592797079
"distance...32",32,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.2446368803736,58.6906455787991,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",236917.071961608,-57.211508376476,59.1010134977355
"distance...33",33,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.22468742182,58.0081221748543,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",256172.681113903,-56.9518751300248,58.4712685866026
"distance...34",34,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.2179948128854,58.104852626666,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",252743.710972436,-57.0372023203657,58.681043405113
"distance...35",35,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.2127108181211,58.0614875447548,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",253858.753948419,-57.0372023203657,58.681043405113
"distance...36",36,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.1887270047059,57.8851964206417,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",257646.919739428,-56.9518751300248,58.4712685866026
"distance...37",37,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.1275261447602,58.1470321976046,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",246319.265329615,-57.0372023203657,58.681043405113
"distance...38",38,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.0659300979518,58.0709592472702,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",245283.588005027,-57.0372023203657,58.681043405113
"distance...39",39,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.0508094602073,58.5652608763192,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",229585.94163904,-57.211508376476,59.1010134977355
"distance...40",40,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.0449625644195,58.5296019821587,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",230434.185412645,-57.211508376476,59.1010134977355
"distance...41",41,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.0449394456496,58.4368465350535,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",233081.731560883,-57.1237382477894,58.8909592797079
"distance...42",42,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.0029787305143,57.7034166156957,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",252379.467834448,-56.8677318975661,58.2616374867023
"distance...43",43,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.0026567169985,57.8726280828117,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",247490.569233923,-56.9518751300248,58.4712685866026
"distance...44",44,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.9844503147033,58.4441747676286,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",229456.561930379,-57.1237382477894,58.8909592797079
"distance...45",45,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.9813549653122,57.9520357399857,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",243783.844818618,-56.9518751300248,58.4712685866026
"distance...46",46,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.9733265290948,58.3143207266012,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",232797.100419377,-57.1237382477894,58.8909592797079
"distance...47",47,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.9334075151734,57.7912206778264,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",245843.710050274,-56.8677318975661,58.2616374867023
"distance...48",48,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.9187604873922,58.5947431824508,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",221287.410144617,-57.211508376476,59.1010134977355
"distance...49",49,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.8816733217056,58.2604340030362,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",229148.738643575,-57.0372023203657,58.681043405113
"distance...50",50,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.8810712160577,58.3032126820077,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",228034.030163123,-57.1237382477894,58.8909592797079
"distance...51",51,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-60.7469465474499,58.4017383517997,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",217289.163934345,-57.1237382477894,58.8909592797079
"distance...52",23410,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.3231574204018,58.8667790628187,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",292082.898272216,-57.3005388789981,59.3112032949558
"distance...53",23411,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.304602173396,58.6551458206776,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",296806.452465052,-57.3005388789981,59.3112032949558
"distance...54",23412,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.183,58.1,"used",20,548156.79881,6440135.0522,35.2930978673014,6.80948686434958,5,1.36189737286992,0.0567457238695798,56.7457238695798,0.0157627010748833,"19940404",307762.75374216,-57.0372023203657,58.681043405113
"distance...55",23413,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.1557029013838,58.8006926900395,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",284275.581099209,-57.3005388789981,59.3112032949558
"distance...56",23414,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.1170626783598,58.5607991293623,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",289577.690467838,-57.211508376476,59.1010134977355
"distance...57",23415,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.1108206659391,58.7694066088841,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",282599.949674937,-57.3005388789981,59.3112032949558
"distance...58",23416,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-62.0763595862123,58.5380603262282,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",287910.336378431,-57.211508376476,59.1010134977355
"distance...59",23417,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.9520318358405,58.6627350831244,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",276965.619197566,-57.3005388789981,59.3112032949558
"distance...60",23418,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.9401573537411,58.4167472146698,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",284024.931815931,-57.211508376476,59.1010134977355
